concept_id,exam,dataset,varname,n_total,n_issues,examples,issue
DEIDENTIFIED_SUBJECT_ID,NA,NA,NA,NA,NA,SUBJECT_ID mapped as measure,admin_filtered_id_concept
DEIDENT_SUBJECT_ID,NA,NA,NA,NA,NA,SUBJECT_ID mapped as measure,admin_filtered_id_concept
F08_ID,NA,NA,NA,NA,NA,SUBJECT_ID mapped as measure,admin_filtered_id_concept
MED_ADHERENCE_SUBJECT_ID,NA,NA,NA,NA,NA,SUBJECT_ID mapped as measure,admin_filtered_id_concept
SUBJECT_ID,NA,NA,NA,NA,NA,SUBJECT_ID mapped as measure,admin_filtered_id_concept
ABP_EXAM_DATE,NA,NA,NA,NA,NA,Family labeled Audiology but content is ABP/cardiovascular — likely misclustered. Admin exam date; set publish=false per guidelines.,enrichment_unpublished
ACTIVITY_MONITOR_SERIAL_ID,NA,NA,NA,NA,NA,"Device serial number; functions as an equipment identifier. Set to publish=false as it is an instrument identifier rather than a clinical or behavioral measurement. Reviewer 2 argued for publish=true on the basis of device-level QC utility, but serial numbers are equipment metadata not suitable for general public-facing publication.",enrichment_unpublished
ALPHACODE,NA,NA,NA,NA,NA,Administrative form code; not clinically meaningful for public users. Limited source descriptions.,enrichment_unpublished
AMU_END_DATE,NA,NA,NA,NA,NA,Published as false because it is a form/session administration date. Limited source descriptions. Family labeled Audiology but content is ABP/AMU monitoring; potential misclustering.,enrichment_unpublished
AMU_OBS_DATE,NA,NA,NA,NA,NA,Published as false because it is an observation date/administrative timestamp. Limited source descriptions. Family labeled Audiology but content is ABP/AMU monitoring; potential misclustering.,enrichment_unpublished
AMU_START_DATE,NA,NA,NA,NA,NA,Published as false because it is a form/session administration date. Limited source descriptions. Family labeled Audiology but content is ABP/AMU monitoring; potential misclustering.,enrichment_unpublished
ANALYSIS_DATE_HEART,NA,NA,NA,NA,NA,Administrative date variable; not a clinical measurement. Marked publish=false.,enrichment_unpublished
ANGIOGRAM_EXAM_DATE,NA,NA,NA,NA,NA,Admin date variable; not recommended for public display.,enrichment_unpublished
APPOINTMENT_DATE_FOR_URINE_RETURN,NA,NA,NA,NA,NA,Administrative scheduling date; marked publish=false.,enrichment_unpublished
ASPIRIN_BRAND_CODE,NA,NA,NA,NA,NA,Internal medication coding variable used for data linkage; not intended for direct public use. Instance type is single (one code per record).,enrichment_unpublished
